LexToken(RPAREN,')',62,1653)
LexToken(RPAREN,')',62,1654)
LexToken(DOTCOMMA,';',62,1655)
LexToken(PRINT,'print',64,1666)
LexToken(LPAREN,'(',64,1671)
LexToken(VARIABLE,'greeting',64,1672)
LexToken(PLUS,'+',64,1681)
LexToken(PLUS,'+',64,1687)
LexToken(VARIABLE,'initial',64,1689)
LexToken(PLUS,'+',64,1697)
LexToken(ADMIRATION,'!',64,1700)
LexToken(RPAREN,')',64,1702)
LexToken(DOTCOMMA,';',64,1703)
LexToken(RBRACE,'}',65,1709)
LexToken(PRIVATE,'private',67,1716)
LexToken(VOID,'void',67,1724)
LexToken(VARIABLE,'nullCheck',67,1729)
LexToken(LPAREN,'(',67,1738)
LexToken(VARIABLE,'Object',67,1739)
LexToken(VARIABLE,'obj',67,1746)
LexToken(RPAREN,')',67,1749)
LexToken(LBRACE,'{',67,1751)
LexToken(IF,'if',68,1761)
LexToken(LPAREN,'(',68,1764)
LexToken(VARIABLE,'obj',68,1765)
LexToken(EQUALS,'=',68,1769)
LexToken(EQUALS,'=',68,1770)
LexToken(NULL,'null',68,1772)
LexToken(RPAREN,')',68,1776)
LexToken(LBRACE,'{',68,1778)
LexToken(PRINT,'print',69,1792)
LexToken(LPAREN,'(',69,1797)
LexToken(VARIABLE,'Object',69,1799)
LexToken(IS,'is',69,1806)
LexToken(NULL,'null',69,1809)
LexToken(RPAREN,')',69,1814)
LexToken(DOTCOMMA,';',69,1815)
LexToken(RBRACE,'}',70,1825)
LexToken(RBRACE,'}',71,1831)
LexToken(PRIVATE,'private',73,1838)
LexToken(VOID,'void',73,1846)
LexToken(VARIABLE,'thisCheck',73,1851)
LexToken(LPAREN,'(',73,1860)
LexToken(VARIABLE,'TestClass',73,1861)
LexToken(VARIABLE,'obj',73,1871)
LexToken(RPAREN,')',73,1874)
LexToken(LBRACE,'{',73,1876)
LexToken(IF,'if',74,1886)
LexToken(LPAREN,'(',74,1889)
LexToken(VARIABLE,'obj',74,1890)
LexToken(EQUALS,'=',74,1894)
LexToken(EQUALS,'=',74,1895)
LexToken(THIS,'this',74,1897)
LexToken(RPAREN,')',74,1901)
LexToken(LBRACE,'{',74,1903)
LexToken(PRINT,'print',75,1917)
LexToken(LPAREN,'(',75,1922)
LexToken(VARIABLE,'This',75,1924)
LexToken(VARIABLE,'object',75,1929)
LexToken(RPAREN,')',75,1936)
LexToken(DOTCOMMA,';',75,1937)
LexToken(RBRACE,'}',76,1947)
LexToken(RBRACE,'}',77,1953)
LexToken(PRIVATE,'private',79,1960)
LexToken(VOID,'void',79,1968)
LexToken(VARIABLE,'superCheck',79,1973)
LexToken(LPAREN,'(',79,1983)
LexToken(STRING,'String',79,1984)
LexToken(VARIABLE,'str',79,1991)
LexToken(RPAREN,')',79,1994)
LexToken(LBRACE,'{',79,1996)
LexToken(IF,'if',80,2006)
LexToken(LPAREN,'(',80,2009)
LexToken(VARIABLE,'str',80,2010)
LexToken(NEQ,'!=',80,2014)
LexToken(NULL,'null',80,2017)
LexToken(RPAREN,')',80,2021)
LexToken(LBRACE,'{',80,2023)
